id,name,city,state,address,phone,website,grades,tuition_range,description,photo_url,verified,accreditation,enrollment,status
salah-tawfik-elementary-and-middle-school,Salah Tawfik Elementary and Middle School,Sunrise,FL,"5457 NW 108th Ave, Sunrise, FL 33351",(954) 741-8130,,PreK–8,,"Community-run Islamic elementary and middle school in Sunrise, FL serving 179 students across PreK–8.",,false,,,published
ties-the-islamic-education-school,T.I.E.S. — The Islamic Education School,Davie,FL,"6045 Orange Dr, Davie, FL 33314",(954) 792-8009,,K–9,,"Intimate Broward-area Islamic school with just 56 students, allowing highly personalized instruction from K through 9.",,false,,,published
clara-mohammed-school-of-miami,Clara Mohammed School of Miami,Miami,FL,"5245 NW 7th Ave, Miami, FL 33127",(305) 757-8741,,K–8,,"One of the oldest private schools in Florida, founded in 1930. Intimate K–8 Islamic school aligned with Miami-Dade district standards serving ~40 students at Masjid Al-Ansar.",,false,,,published
dallas-islamic-school,Dallas Islamic School,Richardson,TX,,,,PreK–12,,Full-time Islamic day school serving PreK through 12th grade in the Dallas/Richardson metro area.,,false,,,published
brighter-horizons-academy,Brighter Horizons Academy,Garland,TX,,,,PreK–12,,"One of the largest Islamic schools in Texas, serving PreK–12 in the Dallas/Garland area with a strong academic reputation.",,false,,,published
iqra-academy-of-irving,Iqra Academy of Irving,Irving,TX,,,,PreK–12,,"Full-time Islamic school in Irving, TX offering PreK through 12th grade with Quran and Arabic instruction alongside core academics.",,false,,,published
good-tree-academy,Good Tree Academy,Plano,TX,,,,PreK–8,,"PreK–8 Islamic school in Plano, TX combining academic rigor with Islamic studies, Quran, and Arabic.",,false,,,published
ilm-academy,ILM Academy,Houston,TX,,,,PreK–12,,Full-time Islamic school in Houston serving PreK–12 with integrated Islamic studies alongside state-aligned academics.,,false,,,published
darul-arqam-school,Darul Arqam School,Houston,TX,,,,PreK–12,,"One of Houston's largest Islamic school networks, operating multiple campuses across Greater Houston and serving PreK–12.",,false,,,published
the-iman-academy,The Iman Academy,Houston,TX,,,,PreK–12,,Full-time Islamic school in Greater Houston serving PreK through 12th grade.,,false,,,published
the-qalam-collegiate-academy,The Qalam Collegiate Academy,Houston,TX,,,,Secondary,,Houston Islamic secondary school emphasizing college preparation alongside traditional Islamic studies.,,false,,,published
austin-peace-academy,Austin Peace Academy,Austin,TX,,,,PreK–12,,"Austin's full-time Islamic school serving PreK through 12th grade with integrated Quran, Arabic, and Islamic studies.",,false,,,published
an-noor-academy-of-san-antonio,An-Noor Academy of San Antonio,San Antonio,TX,,,,,,"Islamic school in San Antonio, TX providing integrated Islamic and academic education.",,false,,,published
river-city-academy,River City Academy,San Antonio,TX,,,,,,"Islamic school in San Antonio, TX offering PreK through secondary education with Islamic studies alongside core academics.",,false,,,published
new-horizon-school-pasadena,New Horizon School - Pasadena,Pasadena,CA,,,https://newhorizonschool.org,K–8,,"Long-running K–8 Islamic school in the Pasadena area combining a full academic program with Quran, Arabic, and Islamic studies.",,false,,,published
granada-islamic-school,Granada Islamic School,Santa Clara,CA,,,https://granadaschool.org,K–8,,"K–8 Islamic school in California's South Bay, serving the Bay Area Muslim community with an integrated academic and Islamic curriculum.",,false,,,published
al-arqam-islamic-school,Al-Arqam Islamic School,Sacramento,CA,,,https://alarqam.com,PreK–12,,"PreK–12 Islamic school in Sacramento offering academics alongside Quran, Arabic, and Islamic studies.",,false,,,published
al-noor-school,Al-Noor School,Brooklyn,NY,,,https://alnoorschool.org,PreK–12,,"Established PreK–12 Islamic school in Brooklyn, New York providing a full academic program with Quran and Islamic studies.",,false,,,published
razi-school,Razi School,Woodside,NY,,,https://razischool.org,PreK–8,,"PreK–8 Islamic school in Queens, NY combining core academics with Quran, Arabic, and Islamic studies.",,false,,,published
al-iman-school,Al-Iman School,Queens,NY,,,,PreK–12,,"Islamic school serving the Queens community with a PreK–12 program in academics, Quran, Arabic, and Islamic studies.",,false,,,published
al-ghazaly-school,Al-Ghazaly School,Teaneck,NJ,,,https://alghazaly.org,PreK–12,,Long-established PreK–12 Islamic school in northern New Jersey offering a full academic program alongside Quran and Islamic studies.,,false,,,published
noor-ul-iman-school,Noor-Ul-Iman School,Monmouth Junction,NJ,,,https://niischool.org,PreK–12,,PreK–12 Islamic school in central New Jersey with a comprehensive academic curriculum and an integrated Islamic studies program.,,false,,,published
rising-star-academy,Rising Star Academy,Union City,NJ,,,https://risingstaracademy.org,PreK–12,,"PreK–12 Islamic school in Union City, NJ serving the Hudson County Muslim community with academics, Quran, and Islamic studies.",,false,,,published
